"","rab.all","rab.win.Fall","rab.win.Spring","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"37",5.02449238837194,5.47900868791934,4.75775491201804,-0.759101282070012,2.20385352747892,-0.312831334043195,0.342410717191658,0.000569009904744297,0.00303794600275553,0.0126803475777002,0.0390869622081169
"39",3.968944722059,4.17312383064559,3.80962751268081,-0.366694844001123,1.28356707235886,-0.242151713551624,0.357142859726356,0.00249591170693044,0.00955490773600978,0.0296873488416076,0.0727327934185372
"40",4.52754178596945,5.07446740362422,4.07332974116638,-0.946855975036857,1.40752362620503,-0.589063787140809,0.261607147981257,4.85340472563103e-06,0.000145785847751561,0.000138896791827933,0.00145532930455722
"54",4.60130099469841,5.084556680309,4.2028718723565,-0.863349828785943,1.93857912064204,-0.381623466766471,0.325301208121218,8.65154592417369e-05,0.000742412621630209,0.00438546273413268,0.0187891580324893
"55",3.93040910787772,4.14787967500346,3.70258036539348,-0.415758919307117,1.59225582068438,-0.214758403707352,0.395359216452201,0.0132996224512673,0.0363888258210845,0.0980902766641445,0.18667369128296
"56",3.81592459157221,4.23941254217628,3.59610760430819,-0.531638282839675,1.68440942398276,-0.280149934164298,0.373214287964665,0.00670356370772044,0.020816522375872,0.0397306185082236,0.0910636794123093
"58",4.2905718013797,4.51290989286075,4.15793571563889,-0.250575397040246,1.72410884365096,-0.113052943100005,0.418116913488977,0.0039767173566294,0.0138372047306989,0.163483558862348,0.280616068082183
"68",4.37719441121062,4.81536367284618,4.0011854765774,-0.86355042995946,2.01547532063739,-0.381603472081273,0.312806786298819,6.19710074036428e-05,0.00062348174323276,0.00352212065797078,0.0162114184471833
"72",5.13413482732238,5.26911728133918,4.96878960453155,-0.402155818016508,1.94950807362871,-0.184570270729373,0.407589287303342,0.00455362141910225,0.0153319441421443,0.142574044165874,0.253373811293355
"75",1.07019848442081,1.14691541910651,1.03681024270585,-1.0711207207823,5.77704294738867,-0.174907636253884,0.399821509987064,0.015371686155891,0.0400056509820883,0.125976506489741,0.22943473785096
"88",4.96691317043977,5.21077391138989,4.76090772980394,-0.49841606535192,1.93402996832093,-0.229008481102939,0.375446430776899,0.0018046771425708,0.00750057802370686,0.0471233336263737,0.103841980592374
"89",4.22191730435402,4.71785943286487,4.05438468439216,-0.653782552603217,2.06797278662072,-0.285938574787027,0.359375002536142,0.000418494897752893,0.002447029224769,0.0296413235836906,0.0731265384660798
"97",2.55005367397512,2.91077176576002,2.18849449528984,-1.58522679451987,3.58770259630867,-0.392785922730088,0.31383928930365,0.0004828190457302,0.0024421263451149,0.00198952620922637,0.0110354346921771
"98",3.57838029123905,3.78689908491772,3.26604879527711,-0.629843889572609,2.25226426043747,-0.229514292162638,0.346273987645331,0.00059849829565306,0.0031495729584148,0.0133653178045638,0.040374814069074
"101",1.26156456748941,1.49533036494494,0.214026114158456,-1.18299451876453,6.22062714600782,-0.190621671315697,0.368750002341146,0.0181699013194574,0.045641210887272,0.0344465924791406,0.0816062631475378
"119",4.41120564416264,4.87099677147956,4.0697243188601,-0.790102915608548,1.93238579287479,-0.383503550913613,0.307142860905684,5.32618632288185e-05,0.000586445425416112,0.00256932427281296,0.0130922204317637
"120",4.86628064211872,5.46838280257802,4.4747536624637,-1.01895651558435,1.92294109782635,-0.472599845143052,0.276785718915639,6.23814321155124e-06,0.000160501564036254,0.000329825122767313,0.00273328344277738
"123",4.45915720629421,4.79601658353655,4.20288575812116,-0.680822673819164,2.06801342035937,-0.301602733624041,0.346273987645331,0.000365267793869713,0.00221356231240306,0.0127627132234304,0.0392234242323716
"139",4.65189389858561,4.96561948336221,4.39054159206021,-0.61300467383955,1.8180142661186,-0.302605851597928,0.339285717262434,0.000183115239301083,0.00130395141479201,0.0114901284738742,0.0363206273274671
"140",4.68609430244486,4.95354960334898,4.50020694760468,-0.593241842814987,1.92253250514788,-0.284416579938184,0.355198574688754,0.000374728459623145,0.00225593761393284,0.0183699970031883,0.0509159103896689
"155",5.20788099823149,5.36603012280202,5.03261832942529,-0.401457827165384,1.92795757720644,-0.186407466412728,0.405176262230096,0.00343645319716421,0.0124018054676744,0.120746465275097,0.222058323205629
